# COSI2 B0 scan
# time 2024-05-27 11:16:39.641517
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240412/sphere_ball_small:magnet_x-y+z-
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
309.390,191.290,283.160,-47.6830,-0.6520,-1.9860,47.7210
283.670,191.290,283.160,-47.7730,0.3540,-2.0090,47.8410
257.960,191.290,283.160,-47.9030,-0.0250,-2.1050,47.9490
232.240,191.290,283.160,-47.8140,-0.5110,-2.1070,47.8720
206.530,191.290,283.160,-47.6830,-0.6910,-2.1200,47.7490
180.810,165.570,283.160,-47.6150,-0.7550,-2.1470,47.6700
206.530,165.570,283.160,-47.5890,-0.7840,-2.1650,47.6440
232.240,165.570,283.160,-47.6110,-0.7910,-2.2020,47.6680
257.960,165.570,283.160,-47.6000,-0.7860,-2.2030,47.6600
283.670,165.570,283.160,-47.6090,-0.7770,-2.1950,47.6660
309.390,165.570,283.160,-47.6490,-0.7390,-2.2040,47.7000
335.100,139.860,283.160,-47.7220,-0.6480,-2.2450,47.7760
309.390,139.860,283.160,-47.7900,-0.4340,-2.3490,47.8490
283.670,139.860,283.160,-47.5070,-0.4690,-2.4860,47.5930
257.960,139.860,283.160,-47.6120,-0.5700,-2.4410,47.6670
232.240,139.860,283.160,-47.6470,-0.6790,-2.3400,47.7120
206.530,139.860,283.160,-47.6250,-0.7470,-2.2700,47.6870
180.810,114.140,283.160,-47.6060,-0.7830,-2.2290,47.6650
206.530,114.140,283.160,-47.5950,-0.8010,-2.2080,47.6550
232.240,114.140,283.160,-47.6160,-0.8120,-2.2070,47.6710
257.960,114.140,283.160,-47.5920,-0.8150,-2.2170,47.6550
283.670,114.140,283.160,-47.5830,-0.8160,-2.2290,47.6430
309.390,114.140,283.160,-47.5800,-0.8040,-2.2590,47.6390
309.390,88.430,283.160,-47.5770,-0.7730,-2.2970,47.6410
283.670,88.430,283.160,-47.5650,-0.7380,-2.3460,47.6290
257.960,88.430,283.160,-47.5300,-0.7820,-2.3210,47.5900
232.240,88.430,283.160,-47.5350,-0.8070,-2.2930,47.5930
206.530,62.710,308.870,-47.5440,-0.8270,-2.2610,47.6050
232.240,62.710,308.870,-47.5480,-0.8340,-2.2370,47.6110
257.960,62.710,308.870,-47.5510,-0.8380,-2.2240,47.6080
283.670,62.710,308.870,-47.5370,-0.8490,-2.2380,47.5990
335.100,88.430,308.870,-47.5120,-0.8660,-2.2660,47.5770
309.390,88.430,308.870,-47.5160,-0.8720,-2.2880,47.5740
283.670,88.430,308.870,-47.5220,-0.8150,-2.3540,47.5910
257.960,88.430,308.870,-47.5280,-0.8200,-2.3630,47.5940
232.240,88.430,308.870,-47.5490,-0.8350,-2.3380,47.6110
206.530,88.430,308.870,-47.5500,-0.8440,-2.2950,47.6160
