X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
232.01, 249.95, 276.33, -47.489000, -2.011000, -0.048000
317.01, 164.95, 276.33, -47.619000, -1.980000, -0.094000
232.01, 79.95, 276.33, -47.525000, -2.033000, -0.121000
147.01, 164.95, 276.33, -47.632000, -2.017000, -0.136000
232.01, 164.95, 361.33, -47.540000, -1.986000, -0.177000
232.01, 164.95, 276.33, -47.554000, -2.012000, -0.091000
232.01, 164.95, 191.33, -47.504000, -2.036000, -0.056000
