X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
200.69, 178.37, 209.22, -47.537000, -2.053000, -0.057000
209.64, 178.37, 209.22, -47.519000, -2.046000, -0.062000
218.59, 178.37, 209.22, -47.517000, -2.045000, -0.065000
227.54, 178.37, 209.22, -47.512000, -2.033000, -0.063000
236.48, 178.37, 209.22, -47.508000, -2.029000, -0.054000
245.43, 178.37, 209.22, -47.508000, -2.025000, -0.057000
254.38, 178.37, 209.22, -47.506000, -2.034000, -0.049000
263.33, 178.37, 209.22, -47.507000, -2.022000, -0.047000
272.27, 178.37, 209.22, -47.513000, -2.014000, -0.056000
281.22, 178.37, 209.22, -47.524000, -2.010000, -0.049000
290.17, 169.43, 209.22, -47.532000, -2.014000, -0.068000
281.22, 169.43, 209.22, -47.526000, -2.008000, -0.063000
272.27, 169.43, 209.22, -47.520000, -2.013000, -0.067000
263.33, 169.43, 209.22, -47.517000, -2.017000, -0.062000
254.38, 169.43, 209.22, -47.513000, -2.027000, -0.053000
245.43, 169.43, 209.22, -47.510000, -2.024000, -0.063000
236.48, 169.43, 209.22, -47.509000, -2.024000, -0.057000
227.54, 169.43, 209.22, -47.508000, -2.043000, -0.061000
218.59, 169.43, 209.22, -47.509000, -2.038000, -0.068000
209.64, 169.43, 209.22, -47.518000, -2.042000, -0.058000
200.69, 169.43, 209.22, -47.524000, -2.060000, -0.069000
191.75, 169.43, 209.22, -47.531000, -2.061000, -0.074000
182.80, 160.48, 209.22, -47.541000, -2.061000, -0.056000
191.75, 160.48, 209.22, -47.545000, -2.061000, -0.053000
200.69, 160.48, 209.22, -47.532000, -2.058000, -0.053000
209.64, 160.48, 209.22, -47.528000, -2.049000, -0.054000
218.59, 160.48, 209.22, -47.519000, -2.050000, -0.056000
227.54, 160.48, 209.22, -47.515000, -2.040000, -0.052000
236.48, 160.48, 209.22, -47.511000, -2.029000, -0.060000
245.43, 160.48, 209.22, -47.507000, -2.030000, -0.064000
254.38, 160.48, 209.22, -47.510000, -2.030000, -0.060000
263.33, 160.48, 209.22, -47.511000, -2.018000, -0.061000
272.27, 160.48, 209.22, -47.518000, -2.013000, -0.060000
281.22, 160.48, 209.22, -47.520000, -2.006000, -0.064000
281.22, 151.53, 209.22, -47.515000, -2.006000, -0.088000
272.27, 151.53, 209.22, -47.509000, -2.017000, -0.079000
263.33, 151.53, 209.22, -47.512000, -2.017000, -0.077000
254.38, 151.53, 209.22, -47.505000, -2.024000, -0.071000
245.43, 151.53, 209.22, -47.509000, -2.039000, -0.074000
236.48, 151.53, 209.22, -47.507000, -2.038000, -0.063000
227.54, 151.53, 209.22, -47.504000, -2.048000, -0.056000
218.59, 151.53, 209.22, -47.511000, -2.053000, -0.069000
209.64, 151.53, 209.22, -47.515000, -2.053000, -0.067000
200.69, 151.53, 209.22, -47.522000, -2.061000, -0.060000
191.75, 142.59, 209.22, -47.531000, -2.068000, -0.053000
200.69, 142.59, 209.22, -47.536000, -2.054000, -0.060000
209.64, 142.59, 209.22, -47.522000, -2.062000, -0.048000
218.59, 142.59, 209.22, -47.513000, -2.048000, -0.060000
227.54, 142.59, 209.22, -47.510000, -2.051000, -0.056000
236.48, 142.59, 209.22, -47.506000, -2.046000, -0.069000
245.43, 142.59, 209.22, -47.503000, -2.033000, -0.067000
254.38, 142.59, 209.22, -47.502000, -2.025000, -0.077000
263.33, 142.59, 209.22, -47.504000, -2.030000, -0.074000
272.27, 142.59, 209.22, -47.504000, -2.018000, -0.072000
272.27, 133.64, 209.22, -47.507000, -2.019000, -0.090000
263.33, 133.64, 209.22, -47.500000, -2.018000, -0.084000
254.38, 133.64, 209.22, -47.496000, -2.030000, -0.079000
245.43, 133.64, 209.22, -47.496000, -2.028000, -0.085000
236.48, 133.64, 209.22, -47.496000, -2.041000, -0.075000
227.54, 133.64, 209.22, -47.502000, -2.049000, -0.067000
218.59, 133.64, 209.22, -47.505000, -2.051000, -0.063000
209.64, 133.64, 209.22, -47.510000, -2.049000, -0.058000
218.59, 124.69, 209.22, -47.512000, -2.059000, -0.057000
227.54, 124.69, 209.22, -47.499000, -2.049000, -0.054000
236.48, 124.69, 209.22, -47.495000, -2.047000, -0.067000
245.43, 124.69, 209.22, -47.491000, -2.035000, -0.072000
218.59, 106.80, 218.17, -47.502000, -2.059000, -0.071000
227.54, 106.80, 218.17, -47.498000, -2.048000, -0.067000
236.48, 106.80, 218.17, -47.493000, -2.043000, -0.072000
245.43, 106.80, 218.17, -47.485000, -2.045000, -0.084000
272.27, 115.74, 218.17, -47.492000, -2.015000, -0.105000
263.33, 115.74, 218.17, -47.488000, -2.019000, -0.106000
254.38, 115.74, 218.17, -47.491000, -2.028000, -0.092000
245.43, 115.74, 218.17, -47.493000, -2.030000, -0.088000
236.48, 115.74, 218.17, -47.493000, -2.034000, -0.076000
227.54, 115.74, 218.17, -47.500000, -2.054000, -0.081000
218.59, 115.74, 218.17, -47.501000, -2.057000, -0.068000
209.64, 115.74, 218.17, -47.509000, -2.059000, -0.064000
191.75, 124.69, 218.17, -47.535000, -2.064000, -0.071000
200.69, 124.69, 218.17, -47.532000, -2.059000, -0.064000
209.64, 124.69, 218.17, -47.524000, -2.048000, -0.058000
218.59, 124.69, 218.17, -47.509000, -2.053000, -0.072000
227.54, 124.69, 218.17, -47.508000, -2.040000, -0.073000
236.48, 124.69, 218.17, -47.502000, -2.037000, -0.071000
245.43, 124.69, 218.17, -47.502000, -2.035000, -0.072000
254.38, 124.69, 218.17, -47.500000, -2.028000, -0.081000
263.33, 124.69, 218.17, -47.501000, -2.023000, -0.093000
272.27, 124.69, 218.17, -47.500000, -2.014000, -0.094000
290.17, 133.64, 218.17, -47.520000, -1.999000, -0.101000
281.22, 133.64, 218.17, -47.516000, -2.001000, -0.098000
272.27, 133.64, 218.17, -47.508000, -2.006000, -0.098000
263.33, 133.64, 218.17, -47.505000, -2.023000, -0.094000
254.38, 133.64, 218.17, -47.506000, -2.019000, -0.088000
245.43, 133.64, 218.17, -47.506000, -2.027000, -0.088000
236.48, 133.64, 218.17, -47.505000, -2.037000, -0.080000
227.54, 133.64, 218.17, -47.506000, -2.041000, -0.086000
218.59, 133.64, 218.17, -47.513000, -2.043000, -0.068000
209.64, 133.64, 218.17, -47.515000, -2.054000, -0.068000
200.69, 133.64, 218.17, -47.527000, -2.058000, -0.062000
191.75, 133.64, 218.17, -47.535000, -2.064000, -0.058000
182.80, 142.59, 218.17, -47.544000, -2.069000, -0.053000
191.75, 142.59, 218.17, -47.548000, -2.062000, -0.056000
200.69, 142.59, 218.17, -47.536000, -2.057000, -0.062000
209.64, 142.59, 218.17, -47.528000, -2.059000, -0.060000
218.59, 142.59, 218.17, -47.526000, -2.050000, -0.063000
227.54, 142.59, 218.17, -47.514000, -2.038000, -0.064000
236.48, 142.59, 218.17, -47.509000, -2.047000, -0.076000
245.43, 142.59, 218.17, -47.510000, -2.046000, -0.069000
254.38, 142.59, 218.17, -47.507000, -2.025000, -0.080000
263.33, 142.59, 218.17, -47.514000, -2.015000, -0.085000
272.27, 142.59, 218.17, -47.509000, -2.002000, -0.082000
281.22, 142.59, 218.17, -47.515000, -2.005000, -0.087000
299.11, 151.53, 218.17, -47.528000, -1.990000, -0.099000
290.17, 151.53, 218.17, -47.531000, -2.000000, -0.088000
281.22, 151.53, 218.17, -47.526000, -2.011000, -0.090000
272.27, 151.53, 218.17, -47.519000, -2.019000, -0.087000
263.33, 151.53, 218.17, -47.516000, -2.010000, -0.074000
254.38, 151.53, 218.17, -47.515000, -2.024000, -0.088000
245.43, 151.53, 218.17, -47.512000, -2.015000, -0.076000
236.48, 151.53, 218.17, -47.510000, -2.033000, -0.081000
227.54, 151.53, 218.17, -47.515000, -2.035000, -0.071000
218.59, 151.53, 218.17, -47.518000, -2.033000, -0.073000
209.64, 151.53, 218.17, -47.522000, -2.041000, -0.073000
200.69, 151.53, 218.17, -47.531000, -2.046000, -0.074000
191.75, 151.53, 218.17, -47.540000, -2.056000, -0.073000
182.80, 151.53, 218.17, -47.547000, -2.062000, -0.072000
173.85, 160.48, 218.17, -47.560000, -2.059000, -0.079000
182.80, 160.48, 218.17, -47.554000, -2.066000, -0.067000
191.75, 160.48, 218.17, -47.549000, -2.058000, -0.062000
200.69, 160.48, 218.17, -47.540000, -2.053000, -0.060000
209.64, 160.48, 218.17, -47.532000, -2.043000, -0.065000
218.59, 160.48, 218.17, -47.522000, -2.049000, -0.068000
227.54, 160.48, 218.17, -47.520000, -2.030000, -0.071000
236.48, 160.48, 218.17, -47.513000, -2.025000, -0.060000
245.43, 160.48, 218.17, -47.514000, -2.031000, -0.070000
254.38, 160.48, 218.17, -47.513000, -2.016000, -0.057000
