X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
254.18, 239.96, 277.40, -47.566000, -2.077000, -0.215000
344.18, 149.96, 277.40, -47.588000, -2.045000, -0.270000
254.18, 59.96, 277.40, -47.609000, -2.117000, -0.282000
164.18, 149.96, 277.40, -47.575000, -2.088000, -0.292000
254.18, 149.96, 367.40, -47.623000, -2.080000, -0.363000
254.18, 149.96, 277.40, -47.601000, -2.084000, -0.265000
254.18, 149.96, 187.40, -47.579000, -2.137000, -0.222000
