# COSI2 B0 scan
# time 2024-05-23 17:43:21.097001
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240523/cross_100mm_y_gradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
141.700,131.100,273.800,0.0000,0.0000,0.0000,0.0000
152.230,131.100,273.800,-47.6130,-0.9020,2.5500,47.6910
162.750,131.100,273.800,-47.5940,-0.8890,2.5540,47.6730
173.280,131.100,273.800,-47.5840,-0.8810,2.5580,47.6610
183.810,131.100,273.800,-47.5710,-0.8790,2.5540,47.6470
194.330,131.100,273.800,-47.5620,-0.8730,2.5560,47.6390
204.860,131.100,273.800,-47.5480,-0.8570,2.5570,47.6280
215.380,131.100,273.800,-47.5530,-0.8550,2.5590,47.6290
225.910,131.100,273.800,-47.5480,-0.8460,2.5550,47.6260
236.440,131.100,273.800,-47.5480,-0.8300,2.5580,47.6230
246.960,131.100,273.800,-47.5490,-0.8260,2.5670,47.6250
257.490,131.100,273.800,-47.5530,-0.8170,2.5690,47.6300
268.020,131.100,273.800,-47.5600,-0.8060,2.5650,47.6340
278.540,131.100,273.800,-47.5730,-0.7970,2.5610,47.6490
289.070,131.100,273.800,-47.5920,-0.7800,2.5620,47.6660
299.590,131.100,273.800,-47.6020,-0.7640,2.5620,47.6760
310.120,131.100,273.800,-47.6210,-0.7560,2.5550,47.6970
320.650,131.100,273.800,-47.6450,-0.7400,2.5510,47.7130
331.170,131.100,273.800,-47.6650,-0.7230,2.5370,47.7400
341.700,131.100,273.800,-47.7000,-0.7120,2.5110,47.7720
241.700,31.100,273.800,-47.7500,-0.6930,2.4930,47.8200
241.700,41.630,273.800,-47.5140,-0.8550,2.5160,47.5920
241.700,52.150,273.800,-47.5230,-0.8500,2.5300,47.5970
241.700,62.680,273.800,-47.5250,-0.8450,2.5270,47.6010
241.700,73.210,273.800,-47.5270,-0.8420,2.5300,47.5990
241.700,83.730,273.800,-47.5320,-0.8390,2.5360,47.6060
241.700,94.260,273.800,-47.5400,-0.8360,2.5410,47.6130
241.700,104.780,273.800,-47.5440,-0.8340,2.5380,47.6210
241.700,115.310,273.800,-47.5480,-0.8240,2.5420,47.6260
241.700,125.840,273.800,-47.5480,-0.8170,2.5520,47.6250
241.700,136.360,273.800,-47.5430,-0.8230,2.5610,47.6190
241.700,146.890,273.800,-47.5500,-0.8210,2.5740,47.6260
241.700,157.420,273.800,-47.5480,-0.8140,2.5800,47.6250
241.700,167.940,273.800,-47.5440,-0.8090,2.5910,47.6200
241.700,178.470,273.800,-47.5390,-0.8120,2.6070,47.6140
241.700,188.990,273.800,-47.5290,-0.8120,2.6160,47.6050
241.700,199.520,273.800,-47.5210,-0.8160,2.6270,47.6000
241.700,210.050,273.800,-47.5070,-0.8130,2.6310,47.5870
241.700,220.570,273.800,-47.4870,-0.8220,2.6430,47.5690
241.700,231.100,273.800,-47.4730,-0.8250,2.6480,47.5550
241.700,131.100,173.800,-47.4600,-0.8370,2.6570,47.5390
241.700,131.100,184.330,-47.4100,-0.8340,2.5860,47.4870
241.700,131.100,194.850,-47.4270,-0.8340,2.5830,47.5050
241.700,131.100,205.380,-47.4360,-0.8340,2.5840,47.5110
241.700,131.100,215.910,-47.4590,-0.8300,2.5790,47.5320
241.700,131.100,226.430,-47.4700,-0.8270,2.5750,47.5430
241.700,131.100,236.960,-47.4900,-0.8320,2.5690,47.5640
241.700,131.100,247.480,-47.5030,-0.8240,2.5670,47.5770
241.700,131.100,258.010,-47.5180,-0.8200,2.5740,47.5910
241.700,131.100,268.540,-47.5310,-0.8250,2.5570,47.6070
241.700,131.100,279.060,-47.5490,-0.8210,2.5570,47.6250
241.700,131.100,289.590,-47.5530,-0.8150,2.5520,47.6290
241.700,131.100,300.120,-47.5690,-0.8160,2.5460,47.6400
241.700,131.100,310.640,-47.5800,-0.8160,2.5400,47.6520
241.700,131.100,321.170,-47.5890,-0.8200,2.5280,47.6630
241.700,131.100,331.690,-47.6040,-0.8110,2.5190,47.6800
241.700,131.100,342.220,-47.6130,-0.8210,2.5130,47.6870
241.700,131.100,352.750,-47.6240,-0.8130,2.4960,47.6980
241.700,131.100,363.270,-47.6330,-0.8140,2.4780,47.7040
241.700,131.100,373.800,-47.6470,-0.8200,2.4620,47.7160
