# COSI2 B0 scan
# time 2024-05-23 17:37:38.430744
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240523/cross_100mm_x_gradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
141.700,131.100,273.800,0.0000,0.0000,0.0000,0.0000
152.230,131.100,273.800,-47.6290,-0.8490,2.4960,47.7020
162.750,131.100,273.800,-47.6170,-0.8490,2.5050,47.6910
173.280,131.100,273.800,-47.5950,-0.8540,2.5140,47.6720
183.810,131.100,273.800,-47.5800,-0.8520,2.5200,47.6550
194.330,131.100,273.800,-47.5750,-0.8510,2.5270,47.6480
204.860,131.100,273.800,-47.5660,-0.8500,2.5370,47.6380
215.380,131.100,273.800,-47.5490,-0.8460,2.5440,47.6250
225.910,131.100,273.800,-47.5500,-0.8540,2.5540,47.6260
236.440,131.100,273.800,-47.5430,-0.8540,2.5640,47.6230
246.960,131.100,273.800,-47.5460,-0.8550,2.5700,47.6240
257.490,131.100,273.800,-47.5540,-0.8490,2.5800,47.6320
268.020,131.100,273.800,-47.5530,-0.8470,2.5840,47.6310
278.540,131.100,273.800,-47.5650,-0.8460,2.5900,47.6430
289.070,131.100,273.800,-47.5730,-0.8390,2.5960,47.6540
299.590,131.100,273.800,-47.5820,-0.8390,2.6070,47.6610
310.120,131.100,273.800,-47.6000,-0.8400,2.6120,47.6770
320.650,131.100,273.800,-47.6240,-0.8260,2.6140,47.7030
331.170,131.100,273.800,-47.6380,-0.8200,2.6130,47.7170
341.700,131.100,273.800,-47.6660,-0.8130,2.5980,47.7440
241.700,31.100,273.800,-47.7000,-0.8020,2.5950,47.7760
241.700,41.630,273.800,-47.5620,-0.8850,2.5250,47.6430
241.700,52.150,273.800,-47.5640,-0.8800,2.5360,47.6440
241.700,62.680,273.800,-47.5670,-0.8840,2.5480,47.6470
241.700,73.210,273.800,-47.5680,-0.8740,2.5390,47.6470
241.700,83.730,273.800,-47.5660,-0.8730,2.5490,47.6430
241.700,94.260,273.800,-47.5710,-0.8690,2.5470,47.6460
241.700,104.780,273.800,-47.5630,-0.8670,2.5500,47.6400
241.700,115.310,273.800,-47.5600,-0.8610,2.5640,47.6370
241.700,125.840,273.800,-47.5570,-0.8590,2.5690,47.6340
241.700,136.360,273.800,-47.5530,-0.8500,2.5720,47.6300
241.700,146.890,273.800,-47.5460,-0.8450,2.5790,47.6230
241.700,157.420,273.800,-47.5320,-0.8480,2.5830,47.6110
241.700,167.940,273.800,-47.5210,-0.8410,2.5900,47.5990
241.700,178.470,273.800,-47.5080,-0.8380,2.6060,47.5910
241.700,188.990,273.800,-47.4970,-0.8390,2.6130,47.5760
241.700,199.520,273.800,-47.4800,-0.8360,2.6280,47.5600
241.700,210.050,273.800,-47.4600,-0.8410,2.6250,47.5400
241.700,220.570,273.800,-47.4390,-0.8480,2.6340,47.5200
241.700,231.100,273.800,-47.4190,-0.8450,2.6360,47.4950
241.700,131.100,173.800,-47.3980,-0.8530,2.6430,47.4770
241.700,131.100,184.330,-47.4840,-0.8660,2.6090,47.5650
241.700,131.100,194.850,-47.4840,-0.8690,2.6060,47.5670
241.700,131.100,205.380,-47.4970,-0.8650,2.5960,47.5760
241.700,131.100,215.910,-47.5050,-0.8610,2.6020,47.5850
241.700,131.100,226.430,-47.5130,-0.8580,2.5950,47.5910
241.700,131.100,236.960,-47.5170,-0.8540,2.5800,47.5940
241.700,131.100,247.480,-47.5310,-0.8570,2.5810,47.6070
241.700,131.100,258.010,-47.5310,-0.8550,2.5780,47.6110
241.700,131.100,268.540,-47.5400,-0.8550,2.5720,47.6170
241.700,131.100,279.060,-47.5370,-0.8490,2.5640,47.6140
241.700,131.100,289.590,-47.5490,-0.8470,2.5600,47.6220
241.700,131.100,300.120,-47.5520,-0.8460,2.5540,47.6280
241.700,131.100,310.640,-47.5490,-0.8400,2.5450,47.6270
241.700,131.100,321.170,-47.5490,-0.8420,2.5360,47.6230
241.700,131.100,331.690,-47.5540,-0.8400,2.5310,47.6250
241.700,131.100,342.220,-47.5530,-0.8370,2.5140,47.6320
241.700,131.100,352.750,-47.5540,-0.8380,2.5040,47.6330
241.700,131.100,363.270,-47.5560,-0.8390,2.4860,47.6310
241.700,131.100,373.800,-47.5600,-0.8430,2.4720,47.6320
