# COSI2 B0 scan
# time 2024-05-22 18:55:30.362520
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
268.370,136.430,215.130,-47.5170,-0.8470,2.0140,47.5660
257.700,136.430,215.130,-47.5160,-0.8510,2.0200,47.5650
247.030,136.430,215.130,-47.5070,-0.8550,2.0190,47.5580
236.370,136.430,215.130,-47.5080,-0.8630,2.0180,47.5550
225.700,136.430,215.130,-47.5040,-0.8660,2.0200,47.5560
215.030,136.430,215.130,-47.5070,-0.8720,2.0170,47.5580
204.370,136.430,215.130,-47.5140,-0.8750,2.0160,47.5650
193.700,125.770,215.130,-47.5190,-0.8820,2.0180,47.5680
204.370,125.770,215.130,-47.5270,-0.8900,2.0220,47.5780
215.030,125.770,215.130,-47.5210,-0.8860,2.0190,47.5710
225.700,125.770,215.130,-47.5140,-0.8770,2.0130,47.5620
236.370,125.770,215.130,-47.5060,-0.8750,2.0130,47.5590
247.030,125.770,215.130,-47.4990,-0.8690,2.0100,47.5500
257.700,125.770,215.130,-47.5060,-0.8650,2.0140,47.5530
268.370,125.770,215.130,-47.5090,-0.8620,2.0080,47.5580
279.030,125.770,215.130,-47.5080,-0.8570,2.0060,47.5590
289.700,125.770,215.130,-47.5220,-0.8460,2.0060,47.5720
289.700,115.100,215.130,-47.5270,-0.8340,1.9980,47.5760
279.030,115.100,215.130,-47.5140,-0.8380,1.9860,47.5630
268.370,115.100,215.130,-47.5150,-0.8410,1.9970,47.5630
257.700,115.100,215.130,-47.5010,-0.8550,1.9940,47.5530
247.030,115.100,215.130,-47.5040,-0.8530,2.0020,47.5570
236.370,115.100,215.130,-47.5020,-0.8610,2.0040,47.5530
225.700,115.100,215.130,-47.4960,-0.8660,2.0100,47.5490
215.030,115.100,215.130,-47.5090,-0.8730,2.0110,47.5630
204.370,104.430,215.130,-47.5130,-0.8850,2.0100,47.5600
215.030,104.430,215.130,-47.5090,-0.8930,2.0210,47.5600
225.700,104.430,215.130,-47.4990,-0.8860,2.0130,47.5500
236.370,104.430,215.130,-47.4990,-0.8800,2.0080,47.5520
247.030,104.430,215.130,-47.4920,-0.8760,2.0060,47.5420
257.700,104.430,215.130,-47.4950,-0.8650,1.9970,47.5450
268.370,104.430,215.130,-47.5010,-0.8590,1.9990,47.5490
279.030,104.430,215.130,-47.4990,-0.8510,1.9900,47.5480
268.370,93.770,215.130,-47.5110,-0.8450,1.9800,47.5590
257.700,93.770,215.130,-47.4960,-0.8550,1.9810,47.5440
247.030,93.770,215.130,-47.4900,-0.8640,1.9930,47.5350
236.370,93.770,215.130,-47.4900,-0.8660,1.9960,47.5390
268.370,72.430,225.800,-47.4940,-0.8780,2.0060,47.5430
