# COSI2 B0 scan
# time 2024-05-23 10:02:34.516565
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
268.370,136.430,215.130,-47.6190,-0.8910,2.0110,47.6720
257.700,136.430,215.130,-47.6210,-0.9050,2.0090,47.6740
247.030,136.430,215.130,-47.6180,-0.9100,2.0000,47.6680
236.370,136.430,215.130,-47.6280,-0.9280,1.9990,47.6760
225.700,136.430,215.130,-47.6300,-0.9340,1.9990,47.6790
215.030,136.430,215.130,-47.6350,-0.9480,1.9890,47.6860
204.370,136.430,215.130,-47.6410,-0.9620,1.9960,47.6920
193.700,125.770,215.130,-47.6510,-0.9670,1.9850,47.7050
204.370,125.770,215.130,-47.6710,-0.9980,1.9880,47.7220
215.030,125.770,215.130,-47.6560,-0.9820,1.9860,47.7070
225.700,125.770,215.130,-47.6440,-0.9670,1.9970,47.7010
236.370,125.770,215.130,-47.6370,-0.9570,1.9980,47.6860
247.030,125.770,215.130,-47.6280,-0.9350,1.9930,47.6790
257.700,125.770,215.130,-47.6260,-0.9290,1.9990,47.6750
268.370,125.770,215.130,-47.6210,-0.9220,1.9970,47.6720
279.030,125.770,215.130,-47.6210,-0.9050,2.0010,47.6720
289.700,125.770,215.130,-47.6240,-0.8960,2.0030,47.6690
289.700,115.100,215.130,-47.6240,-0.8790,2.0020,47.6740
279.030,115.100,215.130,-47.6260,-0.8780,1.9940,47.6750
268.370,115.100,215.130,-47.6230,-0.8950,1.9970,47.6740
257.700,115.100,215.130,-47.6190,-0.9080,2.0000,47.6700
247.030,115.100,215.130,-47.6220,-0.9220,1.9990,47.6700
236.370,115.100,215.130,-47.6210,-0.9370,1.9960,47.6720
225.700,115.100,215.130,-47.6290,-0.9450,2.0010,47.6830
215.030,115.100,215.130,-47.6380,-0.9550,2.0010,47.6910
204.370,104.430,215.130,-47.6550,-0.9780,2.0040,47.7080
215.030,104.430,215.130,-47.6600,-0.9950,2.0070,47.7130
225.700,104.430,215.130,-47.6470,-0.9840,2.0050,47.6980
236.370,104.430,215.130,-47.6380,-0.9630,2.0020,47.6900
247.030,104.430,215.130,-47.6310,-0.9550,2.0000,47.6820
257.700,104.430,215.130,-47.6250,-0.9360,2.0030,47.6790
268.370,104.430,215.130,-47.6190,-0.9250,2.0010,47.6700
279.030,104.430,215.130,-47.6160,-0.9090,2.0000,47.6660
268.370,93.770,215.130,-47.6220,-0.8970,1.9970,47.6740
257.700,93.770,215.130,-47.6130,-0.9110,1.9920,47.6620
247.030,93.770,215.130,-47.6130,-0.9280,1.9990,47.6640
236.370,93.770,215.130,-47.6210,-0.9420,2.0070,47.6750
268.370,72.430,225.800,-47.6240,-0.9610,2.0050,47.6790
257.700,72.430,225.800,-47.6200,-0.9210,1.9840,47.6660
247.030,72.430,225.800,-47.6220,-0.9320,1.9930,47.6750
236.370,72.430,225.800,-47.6290,-0.9480,2.0000,47.6820
204.370,83.100,225.800,-47.6350,-0.9640,2.0060,47.6890
215.030,83.100,225.800,-47.6760,-1.0140,2.0100,47.7270
225.700,83.100,225.800,-47.6660,-0.9950,2.0040,47.7140
236.370,83.100,225.800,-47.6590,-0.9770,2.0050,47.7080
247.030,83.100,225.800,-47.6440,-0.9550,1.9990,47.6950
257.700,83.100,225.800,-47.6310,-0.9430,2.0000,47.6800
268.370,83.100,225.800,-47.6300,-0.9310,1.9930,47.6790
279.030,83.100,225.800,-47.6230,-0.9120,1.9820,47.6730
300.370,93.770,225.800,-47.6240,-0.8970,1.9750,47.6730
289.700,93.770,225.800,-47.6380,-0.8660,1.9700,47.6870
279.030,93.770,225.800,-47.6330,-0.8830,1.9760,47.6820
268.370,93.770,225.800,-47.6300,-0.9030,1.9780,47.6800
257.700,93.770,225.800,-47.6290,-0.9160,1.9880,47.6820
247.030,93.770,225.800,-47.6360,-0.9260,1.9890,47.6810
236.370,93.770,225.800,-47.6420,-0.9450,1.9890,47.6930
225.700,93.770,225.800,-47.6470,-0.9530,1.9970,47.7020
215.030,93.770,225.800,-47.6550,-0.9710,1.9970,47.7040
204.370,93.770,225.800,-47.6710,-0.9830,2.0000,47.7230
193.700,104.430,225.800,-47.6780,-1.0050,2.0030,47.7310
204.370,104.430,225.800,-47.6920,-1.0130,1.9860,47.7420
215.030,104.430,225.800,-47.6760,-0.9900,1.9860,47.7280
225.700,104.430,225.800,-47.6670,-0.9760,1.9870,47.7200
236.370,104.430,225.800,-47.6610,-0.9640,1.9920,47.7090
247.030,104.430,225.800,-47.6430,-0.9460,1.9930,47.6970
257.700,104.430,225.800,-47.6410,-0.9340,1.9890,47.6980
268.370,104.430,225.800,-47.6400,-0.9180,1.9880,47.6900
279.030,104.430,225.800,-47.6330,-0.9110,1.9890,47.6810
289.700,104.430,225.800,-47.6340,-0.8990,1.9840,47.6870
311.030,115.100,225.800,-47.6340,-0.8820,1.9780,47.6830
300.370,115.100,225.800,-47.6540,-0.8480,1.9800,47.7020
289.700,115.100,225.800,-47.6490,-0.8640,1.9850,47.7000
279.030,115.100,225.800,-47.6380,-0.8740,1.9920,47.6890
268.370,115.100,225.800,-47.6330,-0.8890,1.9920,47.6820
257.700,115.100,225.800,-47.6360,-0.9040,1.9860,47.6860
247.030,115.100,225.800,-47.6370,-0.9140,1.9890,47.6870
236.370,115.100,225.800,-47.6410,-0.9360,1.9890,47.6880
225.700,115.100,225.800,-47.6500,-0.9380,1.9930,47.7010
215.030,115.100,225.800,-47.6530,-0.9540,1.9900,47.7020
204.370,115.100,225.800,-47.6650,-0.9620,1.9890,47.7140
193.700,115.100,225.800,-47.6690,-0.9800,1.9840,47.7250
183.030,125.770,225.800,-47.6930,-1.0000,1.9830,47.7390
193.700,125.770,225.800,-47.6930,-1.0060,1.9720,47.7440
204.370,125.770,225.800,-47.6830,-0.9920,1.9760,47.7350
215.030,125.770,225.800,-47.6710,-0.9770,1.9750,47.7230
225.700,125.770,225.800,-47.6610,-0.9610,1.9840,47.7130
236.370,125.770,225.800,-47.6540,-0.9490,1.9780,47.7040
247.030,125.770,225.800,-47.6390,-0.9320,1.9850,47.6910
257.700,125.770,225.800,-47.6360,-0.9240,1.9930,47.6890
268.370,125.770,225.800,-47.6370,-0.9080,1.9910,47.6840
279.030,125.770,225.800,-47.6410,-0.8980,1.9900,47.6880
289.700,125.770,225.800,-47.6400,-0.8950,1.9970,47.6890
300.370,125.770,225.800,-47.6370,-0.8730,1.9940,47.6930
311.030,136.430,225.800,-47.6500,-0.8670,1.9880,47.6990
300.370,136.430,225.800,-47.6610,-0.8540,1.9970,47.7090
289.700,136.430,225.800,-47.6440,-0.8630,2.0040,47.6940
279.030,136.430,225.800,-47.6440,-0.8770,2.0070,47.6920
268.370,136.430,225.800,-47.6420,-0.8880,2.0050,47.6880
