# COSI2 B0 scan
# time 2024-05-24 16:00:35.244420
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_no_magnet
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.530,198.430,284.590,-47.4640,-0.8270,-1.0880,47.4840
287.960,198.430,284.590,-47.8070,-0.8000,-0.9080,47.7940
259.390,198.430,284.590,-47.6280,-0.8060,-0.9770,47.6540
230.810,198.430,284.590,-47.5280,-0.8070,-1.0700,47.5530
202.240,198.430,284.590,-47.4950,-0.7990,-1.1270,47.5160
173.670,169.860,284.590,-47.4810,-0.7920,-1.1620,47.5030
202.240,169.860,284.590,-47.4900,-0.7820,-1.1980,47.5050
230.810,169.860,284.590,-47.5400,-0.7720,-1.2400,47.5620
259.390,169.860,284.590,-47.5220,-0.7790,-1.2240,47.5440
287.960,169.860,284.590,-47.5050,-0.7850,-1.1990,47.5310
316.530,169.860,284.590,-47.5130,-0.7940,-1.1680,47.5340
345.100,141.290,284.590,-47.5530,-0.7950,-1.1470,47.5710
316.530,141.290,284.590,-47.6150,-0.7890,-1.1300,47.6310
287.960,141.290,284.590,-47.6970,-0.7800,-1.2150,47.7180
259.390,141.290,284.590,-47.6370,-0.7860,-1.2060,47.6650
230.810,141.290,284.590,-47.5830,-0.7870,-1.1960,47.6020
202.240,141.290,284.590,-47.5470,-0.7910,-1.1980,47.5730
173.670,112.710,284.590,-47.5290,-0.7960,-1.2130,47.5510
202.240,112.710,284.590,-47.5270,-0.7840,-1.2250,47.5500
230.810,112.710,284.590,-47.5610,-0.7890,-1.2360,47.5810
259.390,112.710,284.590,-47.5430,-0.7950,-1.2330,47.5640
287.960,112.710,284.590,-47.5320,-0.8090,-1.2290,47.5550
316.530,112.710,284.590,-47.5370,-0.8070,-1.2320,47.5600
316.530,84.140,284.590,-47.5610,-0.7960,-1.2310,47.5780
287.960,84.140,284.590,-47.5940,-0.7860,-1.2420,47.6170
259.390,84.140,284.590,-47.5910,-0.7850,-1.2730,47.6170
230.810,84.140,284.590,-47.5540,-0.8000,-1.2670,47.5840
202.240,55.570,313.160,-47.5330,-0.8160,-1.2530,47.5550
230.810,55.570,313.160,-47.5260,-0.8210,-1.2420,47.5490
259.390,55.570,313.160,-47.5150,-0.8180,-1.2450,47.5380
287.960,55.570,313.160,-47.5010,-0.8290,-1.2570,47.5300
345.100,84.140,313.160,-47.5120,-0.8440,-1.2700,47.5320
316.530,84.140,313.160,-47.5280,-0.8530,-1.3060,47.5540
287.960,84.140,313.160,-47.6670,-0.7600,-1.2480,47.6930
259.390,84.140,313.160,-47.6320,-0.7830,-1.2870,47.6600
230.810,84.140,313.160,-47.5730,-0.8090,-1.2930,47.5990
202.240,84.140,313.160,-47.5360,-0.8200,-1.2800,47.5610
173.670,112.710,313.160,-47.5190,-0.8250,-1.2660,47.5430
202.240,112.710,313.160,-47.5250,-0.8070,-1.2590,47.5470
230.810,112.710,313.160,-47.5520,-0.7750,-1.2660,47.5760
259.390,112.710,313.160,-47.5360,-0.7820,-1.2580,47.5620
287.960,112.710,313.160,-47.5270,-0.7910,-1.2530,47.5550
316.530,112.710,313.160,-47.5390,-0.8050,-1.2580,47.5640
345.100,141.290,313.160,-47.5710,-0.7990,-1.2600,47.5950
316.530,141.290,313.160,-47.6160,-0.7890,-1.2670,47.6360
287.960,141.290,313.160,-47.6930,-0.7770,-1.2410,47.7130
259.390,141.290,313.160,-47.6440,-0.7850,-1.2110,47.6730
230.810,141.290,313.160,-47.5880,-0.7770,-1.2140,47.6170
202.240,141.290,313.160,-47.5480,-0.7790,-1.2180,47.5710
173.670,169.860,313.160,-47.5350,-0.7760,-1.2330,47.5570
202.240,169.860,313.160,-47.5280,-0.7660,-1.2440,47.5500
230.810,169.860,313.160,-47.5350,-0.7280,-1.2590,47.5580
259.390,169.860,313.160,-47.5180,-0.7510,-1.2420,47.5440
287.960,169.860,313.160,-47.5060,-0.7700,-1.2130,47.5300
316.530,169.860,313.160,-47.5210,-0.7730,-1.1800,47.5410
316.530,198.430,313.160,-47.5600,-0.7770,-1.1530,47.5790
287.960,198.430,313.160,-47.6170,-0.7810,-1.1270,47.6370
259.390,198.430,313.160,-47.6290,-0.7830,-1.0130,47.6460
230.810,198.430,313.160,-47.5310,-0.7990,-1.0460,47.5550
