# COSI2 B0 scan
# time 2024-05-24 15:31:03.700436
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_magnet_inner_wall_1
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.530,198.430,284.590,-47.4570,-0.8160,-1.1230,47.4750
287.960,198.430,284.590,-47.6230,-0.8100,-0.9720,47.6230
259.390,198.430,284.590,-47.5560,-0.8190,-1.0560,47.5790
230.810,198.430,284.590,-47.4990,-0.8140,-1.1160,47.5270
202.240,198.430,284.590,-47.4770,-0.8070,-1.1670,47.5030
173.670,169.860,284.590,-47.4730,-0.7900,-1.2060,47.5020
202.240,169.860,284.590,-47.4870,-0.7830,-1.2430,47.5090
230.810,169.860,284.590,-47.5410,-0.7800,-1.2870,47.5650
259.390,169.860,284.590,-47.5190,-0.7860,-1.2720,47.5410
287.960,169.860,284.590,-47.5040,-0.7960,-1.2550,47.5270
316.530,169.860,284.590,-47.5070,-0.7970,-1.2200,47.5310
345.100,141.290,284.590,-47.5340,-0.8030,-1.1900,47.5560
316.530,141.290,284.590,-47.5770,-0.7920,-1.1570,47.5980
287.960,141.290,284.590,-47.6560,-0.7870,-1.2090,47.6730
259.390,141.290,284.590,-47.6090,-0.7930,-1.2220,47.6310
230.810,141.290,284.590,-47.5590,-0.8010,-1.2240,47.5910
202.240,141.290,284.590,-47.5440,-0.8130,-1.2420,47.5630
173.670,112.710,284.590,-47.5310,-0.8090,-1.2630,47.5550
202.240,112.710,284.590,-47.5310,-0.8060,-1.2900,47.5550
230.810,112.710,284.590,-47.5300,-0.8370,-1.3400,47.5570
259.390,112.710,284.590,-47.5420,-0.8460,-1.3340,47.5680
287.960,112.710,284.590,-47.5510,-0.8380,-1.3100,47.5700
316.530,112.710,284.590,-47.5520,-0.8280,-1.2850,47.5750
316.530,84.140,284.590,-47.5650,-0.8220,-1.2660,47.5920
287.960,84.140,284.590,-47.5930,-0.8030,-1.2620,47.6160
259.390,84.140,284.590,-47.5890,-0.8090,-1.2870,47.6140
230.810,84.140,284.590,-47.5810,-0.8260,-1.2850,47.6050
202.240,55.570,313.160,-47.5720,-0.8560,-1.2890,47.6000
230.810,55.570,313.160,-47.5810,-0.8740,-1.3140,47.6040
259.390,55.570,313.160,-47.7680,-0.9230,-1.4870,47.7850
287.960,55.570,313.160,-47.7150,-0.8850,-1.3860,47.7470
345.100,84.140,313.160,-47.6220,-0.8720,-1.3270,47.6520
316.530,84.140,313.160,-47.5860,-0.8690,-1.3160,47.6150
287.960,84.140,313.160,-47.6640,-0.7920,-1.3060,47.6890
259.390,84.140,313.160,-47.6330,-0.8110,-1.3200,47.6580
230.810,84.140,313.160,-47.5990,-0.8360,-1.3190,47.6240
202.240,84.140,313.160,-47.5930,-0.8410,-1.3260,47.6150
173.670,112.710,313.160,-47.5980,-0.8430,-1.3660,47.6260
202.240,112.710,313.160,-47.6290,-0.8440,-1.4500,47.6570
230.810,112.710,313.160,-47.5240,-0.7890,-1.4410,47.5580
259.390,112.710,313.160,-47.5460,-0.7940,-1.4040,47.5680
287.960,112.710,313.160,-47.5590,-0.8020,-1.3530,47.5830
316.530,112.710,313.160,-47.5640,-0.8150,-1.3210,47.5890
345.100,141.290,313.160,-47.5790,-0.8190,-1.2970,47.5990
316.530,141.290,313.160,-47.6070,-0.8050,-1.2790,47.6290
287.960,141.290,313.160,-47.6600,-0.7880,-1.2380,47.6790
259.390,141.290,313.160,-47.6240,-0.7880,-1.2290,47.6470
230.810,141.290,313.160,-47.5760,-0.7920,-1.2380,47.6050
202.240,141.290,313.160,-47.5460,-0.7920,-1.2650,47.5710
173.670,169.860,313.160,-47.5290,-0.7880,-1.2930,47.5530
202.240,169.860,313.160,-47.5240,-0.7670,-1.3270,47.5460
230.810,169.860,313.160,-47.5430,-0.7260,-1.3040,47.5670
259.390,169.860,313.160,-47.5170,-0.7440,-1.2980,47.5440
287.960,169.860,313.160,-47.4990,-0.7630,-1.2680,47.5190
316.530,169.860,313.160,-47.5090,-0.7770,-1.2370,47.5310
316.530,198.430,313.160,-47.5410,-0.7840,-1.1980,47.5620
287.960,198.430,313.160,-47.5940,-0.7790,-1.1580,47.6070
259.390,198.430,313.160,-47.5650,-0.7910,-1.0710,47.5860
230.810,198.430,313.160,-47.5040,-0.7960,-1.1020,47.5220
316.530,198.430,341.730,-47.4800,-0.7900,-1.1610,47.5020
287.960,198.430,341.730,-47.4660,-0.7680,-1.2130,47.4870
259.390,198.430,341.730,-47.5490,-0.7590,-1.0390,47.5640
230.810,198.430,341.730,-47.5110,-0.7600,-1.0760,47.5290
202.240,169.860,341.730,-47.4720,-0.7560,-1.1620,47.4940
230.810,169.860,341.730,-47.4480,-0.7430,-1.2240,47.4720
259.390,169.860,341.730,-47.4810,-0.7060,-1.3070,47.5020
287.960,169.860,341.730,-47.4860,-0.7350,-1.2900,47.5090
316.530,141.290,341.730,-47.5130,-0.7510,-1.2510,47.5330
287.960,141.290,341.730,-47.5450,-0.7570,-1.2080,47.5670
259.390,141.290,341.730,-47.6140,-0.7680,-1.2540,47.6300
230.810,141.290,341.730,-47.5840,-0.7720,-1.2740,47.6120
202.240,112.710,341.730,-47.5490,-0.7780,-1.3030,47.5760
230.810,112.710,341.730,-47.5180,-0.7570,-1.3250,47.5430
259.390,112.710,341.730,-47.5200,-0.7400,-1.4140,47.5470
287.960,112.710,341.730,-47.5410,-0.7760,-1.4010,47.5640
